words,links,capital_words,spam_word_count,is_spam
33,0,1,1,0
129,9,5,3,1
387,0,2,0,0
202,1,1,1,0
42,2,3,2,0
240,8,0,9,1
48,0,0,1,0
310,0,2,8,1
350,8,29,6,1
149,5,21,9,1
121,7,29,3,1
418,1,1,2,0
323,3,25,3,1
889,3,20,7,1
232,0,0,1,0
551,3,29,6,1
344,0,3,1,0
233,5,1,2,0
174,1,3,2,0
214,0,1,2,0
888,2,4,3,1
92,3,29,10,1
223,1,0,5,0
856,3,1,6,1
246,5,9,3,1
56,9,3,3,1
195,0,0,1,0
868,9,14,5,1
517,6,19,4,1
197,1,1,4,0
978,6,3,3,1
776,3,30,3,1
60,3,1,9,1
170,2,2,2,0
147,1,3,0,0
953,8,14,3,1
967,3,28,3,1
698,8,14,0,1
333,2,0,2,0
261,0,0,4,0
83,2,16,3,1
995,10,7,9,1
158,0,11,6,1
192,1,1,1,0
240,1,2,1,0
284,9,26,6,1
468,1,4,1,0
633,2,19,8,1
757,7,19,6,1
388,7,24,2,1
29,5,5,2,0
982,4,15,5,1
147,4,6,3,1
629,4,8,3,1
693,9,26,2,1
933,2,7,3,1
475,2,1,1,0
179,2,3,0,0
730,0,19,8,1
105,1,3,5,0
198,3,22,10,1
221,1,2,0,0
153,3,30,3,1
479,2,2,5,0
216,0,2,2,0
36,2,1,0,0
515,3,14,10,1
622,9,22,7,1
751,6,1,9,1
397,2,11,1,1
275,1,0,0,0
182,2,0,2,0
188,2,1,2,0
26,2,1,1,0
191,0,3,2,0
344,9,1,1,1
623,8,10,2,1
25,2,7,0,0
152,2,23,10,1
448,2,10,4,0
290,0,3,6,0
275,0,1,0,0
416,3,5,8,1
87,1,28,7,1
270,2,2,4,0
289,3,3,3,0
868,7,3,9,1
308,3,19,3,1
111,0,1,6,0
117,2,29,9,1
253,0,3,1,0
20,1,3,0,0
68,1,1,6,0
162,2,3,5,0
229,3,24,6,1
274,2,0,1,0
431,1,1,2,0
267,2,1,0,0
195,5,23,2,1
376,8,19,8,1
488,0,3,2,0
117,2,3,4,0
184,3,2,2,0
78,5,3,2,0
495,10,30,10,1
273,2,3,1,0
371,0,1,3,1
402,2,3,2,0
802,4,10,4,1
635,7,23,1,1
219,1,8,0,0
671,6,18,0,1
467,8,1,8,1
82,5,21,0,1
53,0,0,1,0
813,9,11,0,1
447,2,0,0,0
536,0,13,6,1
36,3,0,2,0
752,6,24,3,1
375,2,0,0,0
29,1,1,1,0
213,2,8,1,0
66,2,0,6,0
219,4,0,2,0
191,2,1,4,1
153,2,3,1,0
834,0,9,6,1
914,10,5,10,1
156,8,24,2,1
189,10,26,4,1
127,1,1,1,0
128,5,4,3,1
49,0,8,1,0
20,3,2,1,0
183,5,24,9,1
979,8,28,5,1
788,7,25,10,1
282,4,26,6,1
706,0,17,6,1
70,2,7,2,0
911,0,5,8,1
103,1,3,1,0
110,3,0,2,0
202,3,8,6,1
123,1,2,0,0
172,2,8,4,0
157,0,5,4,0
231,8,6,7,1
103,1,3,2,0
410,0,0,2,0
98,2,3,1,0
805,10,3,1,1
781,8,16,7,1
892,6,8,6,1
86,0,5,0,0
231,4,6,10,1
152,2,1,6,0
99,0,1,1,0
63,2,3,2,0
379,2,11,8,1
125,1,1,0,0
623,3,15,10,1
641,10,14,3,1
265,2,6,6,0
190,1,1,1,0
233,1,0,1,0
275,9,3,5,1
891,9,28,0,1
176,0,11,1,1
638,5,29,8,1
253,2,1,1,0
311,9,29,3,1
134,5,1,0,0
213,0,1,5,1
904,3,5,2,1
830,9,23,10,1
65,3,2,1,0
428,9,5,2,1
380,1,0,1,0
745,2,5,7,1
145,0,0,1,0
56,3,1,2,0
241,0,9,4,0
98,2,2,0,0
747,8,18,5,1
100,2,0,2,0
461,1,2,0,0
263,1,3,1,0
140,10,21,9,1
923,2,26,10,1
298,2,1,6,0
62,0,1,1,0
298,3,1,2,0
26,1,2,1,0
169,0,8,6,0
971,0,13,3,1
646,4,5,7,1
237,8,10,3,1
76,0,2,2,0
30,1,2,2,0
187,4,18,3,1
252,0,2,4,0
214,2,21,10,1
840,1,16,5,1
277,1,2,4,0
100,3,11,8,1
294,2,3,0,0
237,1,0,1,0
604,5,23,8,1
110,4,29,8,1
231,1,20,5,1
390,2,3,6,0
129,3,14,3,1
115,1,5,0,0
544,1,15,5,1
259,0,0,1,0
828,8,12,4,1
250,3,7,0,0
208,2,8,1,0
22,0,3,3,0
214,3,2,1,0
784,4,19,9,1
235,1,3,2,0
333,10,7,10,1
755,9,6,6,1
220,1,2,2,0
446,1,0,2,0
934,7,11,4,1
212,2,0,0,0
534,7,21,6,1
274,4,23,4,1
442,4,2,10,1
145,2,2,0,0
618,6,20,10,1
193,0,0,2,0
297,0,1,2,0
118,1,3,0,0
153,1,1,1,0
474,2,3,0,0
900,7,17,5,1
188,2,24,8,1
473,10,11,4,1
383,10,10,1,1
140,8,15,5,1
215,1,5,2,0
73,0,0,0,0
156,1,3,2,0
350,9,7,1,1
87,0,3,1,0
262,0,3,0,0
199,5,17,2,1
60,6,7,8,1
944,2,7,10,1
930,0,8,7,1
54,2,0,0,0
93,0,3,2,0
359,0,1,6,1
426,1,3,1,0
89,2,2,2,0
336,4,2,0,0
159,6,19,7,1
106,7,8,3,1
235,0,1,3,0
64,9,21,5,1
35,2,6,4,0
849,7,0,4,1
492,10,5,3,1
540,6,8,8,1
818,6,7,0,1
581,0,13,6,1
231,1,3,4,0
205,0,1,2,0
260,8,5,4,1
176,4,5,5,1
211,1,9,0,0
80,2,3,0,0
421,2,3,0,0
259,1,0,2,0
426,1,0,0,0
151,1,0,1,0
858,8,8,4,1
178,0,8,2,0
169,9,12,8,1
138,0,0,2,0
199,2,2,0,0
93,1,5,2,0
310,9,16,1,1
283,3,3,0,0
694,5,24,4,1
730,3,17,10,1
244,2,0,0,0
166,0,1,3,0
198,2,0,0,0
219,0,0,2,0
435,9,6,5,1
137,2,2,2,0
269,1,8,0,0
51,2,1,0,0
735,7,30,1,1
482,2,1,2,0
824,2,20,4,1
120,5,15,5,1
92,1,7,0,0
933,6,14,9,1
153,5,0,0,0
127,9,17,8,1
514,2,11,3,1
261,6,5,5,1
333,2,2,4,0
731,4,12,10,1
149,3,1,2,0
194,10,27,5,1
28,4,0,0,0
168,5,5,3,1
50,10,0,4,1
888,8,5,6,1
252,9,29,3,1
447,1,8,2,0
131,2,27,10,1
74,1,1,0,0
275,8,1,6,1
282,1,1,1,0
760,10,9,7,1
794,2,6,9,1
93,2,1,2,0
322,0,2,4,0
44,0,0,2,0
239,1,3,6,0
846,0,4,4,1
114,7,11,3,1
204,2,1,2,0
389,2,18,5,1
25,0,2,0,0
93,1,3,0,0
543,5,2,5,1
168,2,1,2,0
46,2,0,0,0
413,8,24,1,1
785,5,17,4,1
475,1,16,4,1
849,1,10,0,1
273,2,26,6,1
705,9,23,9,1
541,7,1,3,1
945,2,9,1,1
270,1,2,0,0
513,4,4,1,1
71,2,8,2,0
394,1,2,2,0
138,9,5,9,1
163,0,7,1,0
66,3,26,9,1
274,0,0,1,0
174,4,3,4,0
259,2,0,2,0
211,0,18,0,1
42,2,3,1,0
659,2,27,3,1
184,5,27,10,1
296,2,28,9,1
596,7,5,8,1
79,1,0,2,0
531,3,17,7,1
97,0,0,0,0
682,3,13,10,1
268,5,5,6,1
962,10,24,3,1
213,0,0,4,0
172,2,2,2,0
802,2,15,3,1
138,2,11,3,1
300,5,3,6,1
633,6,20,6,1
153,2,4,0,0
966,10,20,10,1
206,4,20,6,1
511,3,15,10,1
66,2,29,3,1
390,7,26,5,1
453,3,1,0,0
159,5,1,2,0
508,5,24,8,1
26,1,3,0,0
104,1,10,0,0
790,9,13,1,1
304,10,12,5,1
445,0,3,2,0
299,5,27,10,1
280,2,2,2,0
653,6,21,2,1
136,2,0,5,0
275,1,2,2,0
174,4,14,8,1
280,2,2,2,0
361,3,14,10,1
220,4,3,1,0
146,2,10,2,0
456,7,24,9,1
50,1,1,0,0
161,6,16,4,1
201,2,1,2,0
599,4,15,10,1
638,2,25,1,1
31,1,2,1,0
715,8,14,7,1
218,1,6,2,0
359,2,1,0,0
60,0,2,1,0
203,7,28,3,1
213,1,3,0,0
86,2,1,2,0
70,9,17,1,1
172,2,1,1,0
123,4,2,2,0
31,0,8,4,0
141,7,19,3,1
145,1,5,5,0
147,5,0,2,0
400,10,27,10,1
269,2,0,5,0
340,0,2,2,0
144,6,8,4,1
159,0,23,0,1
246,2,2,2,0
294,0,2,5,0
175,0,0,1,0
328,10,1,4,1
290,0,9,3,0
757,9,30,3,1
476,2,1,9,1
394,3,22,0,1
442,3,28,10,1
204,0,3,1,0
151,2,1,0,0
163,6,23,3,1
364,1,1,1,0
460,5,19,4,1
707,9,17,8,1
177,2,3,1,0
755,10,26,5,1
190,2,0,1,0
748,3,22,3,1
281,1,4,6,0
744,2,23,0,1
393,7,20,4,1
23,0,1,1,0
127,2,26,7,1
381,4,6,2,0
23,0,1,5,0
371,3,8,6,0
489,2,1,0,0
47,2,0,2,0
53,0,2,4,0
140,1,3,4,0
250,10,0,4,1
92,0,3,0,0
699,2,24,5,1
235,1,0,1,0
275,2,0,2,0
32,2,1,4,0
97,10,6,7,1
172,0,1,2,0
143,5,26,4,1
294,0,1,2,0
902,7,9,1,1
194,0,3,5,0
65,2,2,2,0
189,2,26,1,1
349,10,25,6,1
495,1,1,3,0
118,3,23,1,1
911,3,17,4,1
507,3,3,10,1
271,2,2,0,0
386,0,0,1,0
294,2,3,3,0
82,2,3,2,0
68,1,1,2,0
967,9,19,9,1
318,2,19,10,1
49,0,3,2,0
193,1,3,1,0
315,3,21,3,1
665,9,15,8,1
126,2,1,2,0
132,3,5,10,1
151,0,0,2,0
125,6,24,5,1
86,2,3,1,0
177,6,20,3,1
794,0,27,6,1
125,2,3,6,0
253,0,0,2,0
502,6,4,5,1
388,7,1,8,1
255,10,7,10,1
158,9,12,7,1
486,9,27,3,1
505,5,7,10,1
188,6,19,7,1
622,5,1,7,1
119,1,11,5,1
161,3,26,8,1
222,2,0,0,0
370,1,1,0,0
579,3,9,7,1
607,9,11,1,1
297,1,3,2,0
208,1,5,2,0
342,1,2,0,0
230,2,1,1,0
242,0,5,1,0
282,2,1,0,0
695,3,25,10,1
621,10,28,2,1
438,1,3,5,0
327,0,3,0,0
191,2,0,2,0
162,0,3,1,0
198,6,19,1,1
514,9,7,7,1
64,2,0,5,0
137,4,2,0,0
65,2,8,0,0
82,3,17,6,1
372,8,6,9,1
82,7,28,9,1
343,4,13,7,1
91,3,0,5,0
64,9,24,2,1
119,8,24,8,1
774,2,14,7,1
45,0,4,1,0
923,2,17,1,1
160,8,6,1,1
184,2,0,2,0
546,10,10,3,1
288,3,1,1,0
721,4,21,9,1
249,5,2,2,0
614,0,16,5,1
262,1,0,0,0
314,0,2,0,0
549,3,22,5,1
990,3,24,7,1
224,1,0,2,0
233,1,0,1,0
317,0,5,0,0
107,4,18,8,1
154,3,27,0,1
910,8,4,1,1
929,7,19,1,1
178,0,1,0,0
629,7,29,10,1
400,0,10,0,0
122,1,3,1,0
222,2,0,2,0
965,10,10,8,1
127,2,0,4,0
53,2,2,2,0
992,9,18,3,1
627,8,8,6,1
809,2,5,6,1
146,4,28,5,1
501,2,9,8,1
623,3,7,2,1
332,7,5,6,1
135,5,3,0,0
133,0,1,1,0
170,1,2,0,0
330,1,3,3,1
36,0,3,2,0
299,2,6,7,1
99,4,2,0,0
322,9,22,9,1
457,0,2,0,0
182,0,1,1,0
156,2,4,8,1
275,1,1,6,0
241,5,26,3,1
846,3,22,7,1
145,1,3,0,0
245,2,2,2,0
253,2,6,2,0
141,1,2,1,0
41,0,3,2,0
451,2,19,3,1
217,2,1,2,0
638,2,13,10,1
61,8,7,4,1
159,0,0,0,0
296,0,0,5,0
226,1,2,2,0
162,3,3,5,0
314,6,26,10,1
732,0,5,7,1
273,0,0,2,0
109,2,10,0,1
83,1,0,0,0
925,3,23,2,1
45,2,1,5,0
996,4,19,3,1
32,1,3,1,0
71,2,2,1,0
111,2,0,3,0
358,0,21,6,1
237,2,2,1,0
218,1,2,2,0
408,2,21,0,1
393,5,8,10,1
835,8,6,8,1
799,9,1,8,1
288,0,3,1,0
256,3,23,4,1
339,2,1,2,0
161,9,17,9,1
160,0,3,2,0
766,10,11,10,1
199,7,5,4,1
720,5,9,3,1
182,2,9,10,1
412,6,6,4,1
83,10,23,10,1
359,0,2,2,0
193,10,7,4,1
243,1,3,2,0
217,8,24,2,1
254,1,1,0,0
244,2,1,1,0
292,5,2,1,0
178,3,1,0,0
200,2,2,0,0
190,9,22,8,1
663,6,22,9,1
364,10,24,8,1
69,7,27,6,1
159,0,2,1,0
274,4,0,2,0
882,7,21,3,1
125,2,0,2,0
816,7,20,10,1
22,2,0,2,0
226,1,6,2,0
159,1,1,1,0
73,3,1,0,0
135,2,2,1,0
758,10,26,0,1
569,3,1,8,1
694,1,29,5,1
505,10,3,6,1
133,2,0,0,0
65,5,2,2,0
113,3,3,1,0
173,10,22,8,1
809,3,5,10,1
53,2,16,6,1
285,1,2,1,0
485,1,0,2,0
170,5,1,0,0
26,2,1,2,0
78,1,3,1,0
174,0,4,2,0
277,3,0,1,0
256,6,7,2,1
158,3,10,5,1
639,2,2,5,1
427,1,1,5,0
398,1,0,1,0
163,3,5,9,1
250,5,5,2,0
193,1,1,1,0
196,10,1,8,1
647,2,5,1,1
21,0,2,1,0
156,2,3,2,0
475,1,7,7,1
62,10,1,9,1
182,9,27,0,1
220,2,0,1,0
182,2,5,4,0
198,1,3,0,0
199,2,22,4,1
130,3,3,1,0
827,1,26,10,1
126,4,3,1,0
533,1,30,5,1
189,1,2,1,0
822,9,20,5,1
134,4,3,1,0
236,1,10,2,0
247,0,0,0,0
187,4,28,9,1
224,1,3,0,0
198,1,3,9,1
502,2,4,5,1
637,3,30,1,1
374,10,30,5,1
211,10,8,5,1
454,4,15,2,1
184,10,24,9,1
127,2,30,4,1
882,9,23,2,1
148,2,9,5,1
148,8,4,8,1
240,0,2,0,0
130,3,13,5,1
195,3,17,6,1
259,0,3,1,0
344,8,14,4,1
121,8,10,8,1
88,3,2,2,0
103,0,0,1,0
172,0,0,6,0
433,1,2,2,0
172,1,2,4,0
476,0,1,2,0
348,6,1,7,1
133,2,1,0,1
189,4,8,9,1
130,1,2,5,0
272,0,3,0,0
195,4,3,8,1
215,2,0,1,0
122,4,0,4,0
41,1,3,3,0
923,4,22,6,1
904,3,23,7,1
515,3,2,3,1
958,7,26,7,1
270,0,4,5,0
144,0,8,2,0
528,9,16,9,1
144,0,0,9,1
419,1,2,0,0
781,10,3,0,1
558,6,24,5,1
977,7,8,4,1
266,3,15,6,1
119,9,9,10,1
208,4,1,2,0
194,0,3,1,0
665,3,4,10,1
202,2,0,0,0
427,3,3,0,0
33,2,1,1,0
258,1,3,1,0
351,10,7,4,1
97,2,2,2,0
373,4,1,3,0
302,2,2,2,0
35,0,1,0,0
62,1,5,1,0
34,1,2,0,0
101,1,0,0,0
188,0,1,0,0
195,7,17,5,1
168,0,7,10,1
458,2,2,2,0
214,0,3,1,0
431,6,15,9,1
208,5,3,0,0
148,2,7,1,0
217,0,1,1,0
84,0,0,0,0
157,3,15,3,1
110,5,0,2,0
290,1,7,1,0
899,2,21,7,1
121,0,17,4,1
92,1,3,1,0
160,5,16,5,1
217,0,3,0,0
252,2,0,0,0
159,1,2,1,0
346,1,4,5,0
285,0,3,1,0
179,2,20,0,1
129,2,21,7,1
103,10,5,7,1
596,2,6,2,1
246,1,2,4,0
363,5,11,5,1
62,0,3,3,0
205,4,3,3,1
235,0,0,1,0
308,0,2,2,0
141,1,2,3,1
195,2,1,1,0
188,1,7,0,0
190,3,26,2,1
560,3,22,9,1
224,10,29,10,1
244,2,0,1,0
826,7,5,0,1
101,0,1,1,0
171,0,3,1,0
283,8,30,1,1
276,8,14,6,1
210,4,0,1,0
910,7,24,4,1
142,9,8,8,1
188,1,0,2,0
662,5,6,7,1
158,1,3,0,0
944,7,0,4,1
150,5,3,2,0
118,1,1,2,0
155,9,30,1,1
283,0,2,2,0
394,8,25,8,1
169,2,3,3,0
56,0,3,2,0
473,1,0,1,0
84,3,7,2,0
240,5,19,9,1
95,2,3,0,0
595,0,27,6,1
678,9,16,3,1
922,6,7,10,1
54,0,3,1,0
779,3,23,8,1
337,9,25,4,1
35,0,2,1,0
174,6,29,5,1
185,2,1,1,0
927,1,21,5,1
176,5,4,4,1
219,2,7,1,0
25,2,0,2,0
302,2,1,0,0
158,10,26,4,1
169,0,2,3,0
252,2,1,1,0
23,1,2,0,0
393,5,1,1,0
390,6,23,3,1
410,5,22,9,1
218,2,0,4,0
165,1,3,2,0
143,4,0,8,1
220,1,0,0,0
181,8,6,6,1
99,2,2,2,0
427,2,2,1,0
242,2,2,1,0
366,6,12,8,1
218,4,3,1,0
579,3,7,10,1
691,7,26,10,1
122,9,5,9,1
218,2,5,0,0
166,9,29,7,1
203,2,24,2,1
197,5,0,5,0
218,3,12,10,1
528,2,12,0,1
127,6,28,10,1
418,7,20,3,1
612,0,22,3,1
125,1,3,2,0
119,0,2,0,0
37,1,9,1,0
165,3,4,0,0
100,3,21,1,1
385,4,12,3,1
608,4,29,2,1
240,1,1,1,0
897,9,23,10,1
418,1,21,6,1
321,6,23,8,1
102,1,2,0,0
355,1,4,6,0
277,1,10,0,0
284,1,1,0,0
247,5,2,1,0
85,8,4,9,1
324,0,8,3,0
206,0,0,0,0
875,3,30,8,1
359,9,2,6,1
218,2,2,0,0
38,0,0,2,0
442,1,3,1,0
177,3,19,4,1
210,0,1,1,0
74,2,3,4,0
277,0,1,1,0
91,5,4,4,1
79,0,8,6,0
471,6,5,5,1
281,1,1,2,0
249,1,3,1,0
209,1,2,2,0
296,0,1,1,0
59,2,13,9,1
162,1,1,3,0
274,2,2,5,1
659,1,13,5,1
633,8,19,7,1
268,0,2,1,0
301,9,6,7,1
90,2,21,6,1
937,4,8,4,1
268,2,1,1,0
119,0,3,1,0
242,2,3,5,0
242,2,2,2,0
186,8,1,7,1
157,1,2,0,0
158,2,1,2,0
150,2,10,1,0
193,6,1,8,1
21,1,7,3,0
62,1,1,2,0
22,2,2,2,0
203,0,2,6,0
37,1,2,2,0
219,0,0,0,0
719,9,2,8,1
230,1,2,2,0
200,1,5,1,0
226,1,10,1,0
792,6,28,7,1
103,0,1,0,0
178,2,0,2,0
71,5,2,1,0
184,5,1,2,0
260,0,3,5,0
156,2,1,0,0
154,5,0,2,0
80,0,2,6,0
113,0,2,4,0
271,1,3,6,0
867,1,3,4,1
151,3,11,4,1
178,1,2,2,0
542,2,12,3,1
152,5,0,1,0
583,2,10,6,1
58,1,3,1,0
642,5,6,6,1
955,5,11,5,1
123,0,0,2,0
78,9,29,9,1
779,0,6,2,1
399,9,21,2,1
856,10,13,0,1
118,1,3,0,0
101,5,0,8,1
543,1,4,10,1
56,0,3,1,0
255,2,1,1,0
25,1,2,1,0
172,3,2,2,0
253,2,0,0,0
49,0,2,4,0
114,8,6,9,1
113,0,6,6,0
233,3,26,5,1
91,1,9,5,0
776,7,28,7,1
937,3,20,4,1
551,0,21,8,1
125,1,27,4,1
513,2,23,3,1
172,9,2,6,1
85,0,3,1,0
792,3,28,9,1
63,1,2,0,0
300,0,1,1,0
71,2,0,1,0
290,10,18,0,1
345,2,1,1,0
59,0,1,2,0
49,2,3,2,0
265,2,1,2,0
353,2,7,5,1
593,8,15,3,1
55,0,6,2,0
130,8,18,8,1
82,3,1,10,1
178,2,5,3,1
283,2,0,3,0
212,4,3,0,0
76,3,5,9,1
614,9,19,7,1
241,2,19,3,1
70,5,13,6,1
137,1,3,0,0
62,1,18,2,1
281,2,4,6,1
226,0,2,2,0
118,9,10,5,1
219,1,3,1,0
612,8,28,9,1
275,0,8,4,0
415,5,3,1,0
76,2,2,2,0
476,8,18,9,1
169,0,2,1,0
190,4,5,3,1
328,10,30,10,1
224,1,6,2,0
197,10,21,8,1
197,0,0,1,0
87,0,3,2,0
725,8,3,9,1
972,8,1,8,1
213,2,3,3,0
482,2,0,2,0
80,2,3,0,0
56,1,2,2,0
202,0,2,0,0
277,1,1,0,0
468,9,12,7,1
330,10,10,5,1
116,2,24,1,1
212,3,19,7,1
110,1,2,0,0
496,2,3,0,0
64,0,2,0,0
210,0,0,4,0
454,2,0,5,0
192,7,17,9,1
327,9,11,9,1
745,2,10,8,1
120,2,21,3,1
22,5,1,0,0
848,2,1,4,1
28,1,2,0,0
321,9,11,6,1
111,1,20,6,1
490,0,1,6,0
180,0,25,10,1
140,1,2,2,0
93,1,5,1,0
21,0,1,1,0
155,4,15,10,1
750,6,21,2,1
158,6,20,10,1
227,2,4,1,0
309,0,26,8,1
212,1,3,1,0
86,0,0,1,0
308,1,3,6,0
133,1,2,2,0
29,1,3,2,0
269,3,0,1,0
70,7,1,8,1
758,7,28,0,1
35,2,2,5,0
272,1,2,1,0
155,2,1,3,0
459,7,22,7,1
43,0,0,0,0
453,1,0,1,0
108,0,1,6,0
129,3,30,1,1
930,0,5,7,1
131,2,6,6,1
744,7,17,0,1
238,2,2,1,0
89,10,28,4,1
141,0,12,4,1
208,0,0,1,0
57,3,24,6,1
474,8,23,6,1
150,1,10,1,0
476,10,11,8,1
445,1,2,1,0
158,2,4,1,0
476,2,3,3,0
130,1,1,0,0
380,4,4,7,1
237,0,3,2,0
253,0,3,0,0
145,1,2,0,0
153,8,24,5,1
206,1,1,2,0
959,5,21,5,1
601,2,25,5,1
96,2,0,1,0
174,0,24,4,1
291,0,3,0,0
919,0,16,8,1
806,7,19,3,1
832,4,16,1,1
614,4,28,0,1
576,6,2,5,1
60,0,9,4,0
352,0,1,2,0
455,2,3,1,0
351,1,0,0,0
177,0,1,1,0
132,2,2,0,0
66,2,14,5,1
275,2,0,0,0
328,0,12,6,1
529,3,0,8,1
401,4,20,7,1
474,7,27,5,1
108,4,16,9,1
168,9,22,0,1
57,7,5,1,1
27,1,6,2,0
78,0,1,2,0
519,6,5,10,1
227,2,0,2,0
66,1,10,2,0
908,3,10,5,1
608,10,8,6,1
540,7,28,10,1
133,0,10,2,0
529,5,9,7,1
257,4,3,1,0
612,6,9,0,1
810,4,15,5,1
192,1,0,2,0
137,2,2,0,0
301,1,21,3,1
941,9,8,0,1
271,4,1,0,0
318,4,25,6,1
371,2,9,5,1
121,10,23,7,1
558,6,0,10,1
186,10,28,6,1
590,5,5,8,1
223,2,1,2,0
44,0,3,4,0
293,1,2,1,0
339,5,19,9,1
421,7,17,5,1
290,1,2,2,0
951,8,8,6,1
652,8,3,6,1
124,2,29,5,1
